"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"52","risikoarm","hoch","35-59","Male","bier",0.60249266999758,0.579920279576963,0.625065060418196,1001
"53","risikoarm","hoch","35-59","Male","wein",0.725355795560996,0.691096239829294,0.759615351292698,984
"54","risikoarm","hoch","35-59","Male","sprit",0.679657288862882,0.630932076139447,0.728382501586317,507
"55","risikoarm","hoch","35-59","Female","bier",0.637132309588531,0.596921573116156,0.677343046060906,942
"56","risikoarm","hoch","35-59","Female","wein",0.717227657347615,0.684888919198416,0.749566395496814,1034
"57","risikoarm","hoch","35-59","Female","sprit",0.635687105379278,0.593253101171674,0.678121109586883,498
"58","risikoarm","hoch","60+","Male","bier",0.540609544907513,0.516102444178104,0.565116645636922,623
"59","risikoarm","hoch","60+","Male","wein",0.770362623751247,0.709712121676223,0.83101312582627,635
"60","risikoarm","hoch","60+","Male","sprit",0.541491894592764,0.502028239077891,0.580955550107636,325
"61","risikoarm","hoch","60+","Female","bier",0.543832735187408,0.518318163894856,0.569347306479961,531
"62","risikoarm","hoch","60+","Female","wein",0.774393219280138,0.715624235581102,0.833162202979175,596
"63","risikoarm","hoch","60+","Female","sprit",0.523521323606285,0.48412995666699,0.562912690545579,275
"64","riskant","niedrig","18-34","Male","bier",0.470589162824617,0.408417870717273,0.532760454931962,31
"65","riskant","niedrig","18-34","Male","wein",0.504352174900382,0.388441214783028,0.620263135017736,24
"66","riskant","niedrig","18-34","Male","sprit",0.612914633315593,0.460483866323564,0.765345400307622,22
"67","riskant","niedrig","18-34","Female","bier",0.552649361967851,0.467938585140707,0.637360138794995,46
"68","riskant","niedrig","18-34","Female","wein",0.437789075169482,0.371705291339361,0.503872858999603,51
"69","riskant","niedrig","18-34","Female","sprit",0.45305434469403,0.37968038209107,0.52642830729699,36
"70","riskant","niedrig","35-59","Male","bier",0.360454339561424,0.242263283013835,0.478645396109013,31
"71","riskant","niedrig","35-59","Male","wein",0.396182806138056,0.335251180075158,0.457114432200954,22
"72","riskant","niedrig","35-59","Male","sprit",0.409568277059027,0.286010939082786,0.533125615035269,20
"73","riskant","niedrig","35-59","Female","bier",0.381806279723348,0.314574902698068,0.449037656748627,42
"74","riskant","niedrig","35-59","Female","wein",0.407902892963492,0.344454558289386,0.471351227637597,44
"75","riskant","niedrig","35-59","Female","sprit",0.431373159539315,0.331154888969534,0.531591430109096,23
"76","riskant","niedrig","60+","Male","bier",0.329273100122092,0.299579198603915,0.35896700164027,51
"77","riskant","niedrig","60+","Male","wein",0.460499599575211,0.390354174804644,0.530645024345779,42
"78","riskant","niedrig","60+","Male","sprit",0.415173859810974,0.299508901849718,0.53083881777223,27
"79","riskant","niedrig","60+","Female","bier",0.38185741363188,0.303800080850016,0.459914746413744,51
"80","riskant","niedrig","60+","Female","wein",0.404066750696498,0.355386725744091,0.452746775648904,54
"81","riskant","niedrig","60+","Female","sprit",0.421894386448209,0.314204159443107,0.529584613453312,30
"82","riskant","mittel","18-34","Male","bier",0.533579504164614,0.438199633732274,0.628959374596953,51
"83","riskant","mittel","18-34","Male","wein",0.623706386034461,0.508766689912887,0.738646082156035,39
"84","riskant","mittel","18-34","Male","sprit",0.520117212878713,0.439268494112597,0.60096593164483,33
"85","riskant","mittel","18-34","Female","bier",0.509305375908294,0.44091165489718,0.577699096919408,85
"86","riskant","mittel","18-34","Female","wein",0.592817163778012,0.532011769092281,0.653622558463744,85
"87","riskant","mittel","18-34","Female","sprit",0.538231675733421,0.465090847980111,0.61137250348673,53
"88","riskant","mittel","35-59","Male","bier",0.433460006196544,0.385414654500495,0.481505357892593,103
"89","riskant","mittel","35-59","Male","wein",0.536035675481548,0.479749440751765,0.592321910211331,84
"90","riskant","mittel","35-59","Male","sprit",0.539503001996632,0.381749276027206,0.697256727966057,56
"91","riskant","mittel","35-59","Female","bier",0.43812054704073,0.396392781291097,0.479848312790362,130
"92","riskant","mittel","35-59","Female","wein",0.509437941963372,0.469330978408893,0.549544905517851,122
"93","riskant","mittel","35-59","Female","sprit",0.502245453134209,0.427471975939698,0.57701893032872,82
"94","riskant","mittel","60+","Male","bier",0.390925813806885,0.36725160123212,0.414600026381649,137
"95","riskant","mittel","60+","Male","wein",0.539150798806748,0.492060815235112,0.586240782378384,127
"96","riskant","mittel","60+","Male","sprit",0.417763165379841,0.381984703389411,0.453541627370271,99
"97","riskant","mittel","60+","Female","bier",0.405211491244676,0.375999629095294,0.434423353394058,125
"98","riskant","mittel","60+","Female","wein",0.563739107746026,0.510817612933768,0.616660602558283,127
"99","riskant","mittel","60+","Female","sprit",0.414100325422355,0.384577951187179,0.443622699657531,98
"100","riskant","hoch","18-34","Male","bier",0.497761691108278,0.436096557463513,0.559426824753044,105
"101","riskant","hoch","18-34","Male","wein",0.646866467407376,0.580352382878605,0.713380551936147,91
"102","riskant","hoch","18-34","Male","sprit",0.602882272130463,0.519459078145725,0.6863054661152,72
"103","riskant","hoch","18-34","Female","bier",0.486179902936338,0.44898560435137,0.523374201521307,124
"104","riskant","hoch","18-34","Female","wein",0.632181398894571,0.562473124845991,0.701889672943151,117
"105","riskant","hoch","18-34","Female","sprit",0.558792478780988,0.482971286594928,0.634613670967048,77
"106","riskant","hoch","35-59","Male","bier",0.46250748285225,0.432409559553697,0.492605406150803,244
"107","riskant","hoch","35-59","Male","wein",0.655491744455071,0.60711494903455,0.703868539875591,245
"108","riskant","hoch","35-59","Male","sprit",0.635912395167302,0.552547899865835,0.71927689046877,164
"109","riskant","hoch","35-59","Female","bier",0.474788650875095,0.4488821631862,0.500695138563991,341
"110","riskant","hoch","35-59","Female","wein",0.641931261001692,0.602655639138088,0.681206882865297,362
"111","riskant","hoch","35-59","Female","sprit",0.582451016097185,0.534132236688415,0.630769795505956,242
"112","riskant","hoch","60+","Male","bier",0.475585677678168,0.432530409489589,0.518640945866747,224
"113","riskant","hoch","60+","Male","wein",0.667517804064843,0.623075193135365,0.711960414994322,253
"114","riskant","hoch","60+","Male","sprit",0.521573536667537,0.461947049256718,0.581200024078356,168
"115","riskant","hoch","60+","Female","bier",0.495789146488822,0.444119756284,0.547458536693645,177
"116","riskant","hoch","60+","Female","wein",0.669046006601117,0.623667092481897,0.714424920720336,211
